LLAVE|Longitud|Latitud
ANTIOQUIA-MEDELLIN|-75.581713|6.246716
ANTIOQUIA-ABEJORRAL|-75.428738|5.789304
ANTIOQUIA-ABRIAQUI|-76.064703|6.631806
ANTIOQUIA-ALEJANDRIA|-75.141333|6.376066
ANTIOQUIA-AMAGA|-75.701946|6.038809
ANTIOQUIA-AMALFI|-75.082524|6.912305
ANTIOQUIA-ANDES|-75.878792|5.656775
ANTIOQUIA-ANGELOPOLIS|-75.711351|6.109614
ANTIOQUIA-ANGOSTURA|-75.335116|6.885175
ANTIOQUIA-ANORI|-75.148348|7.074708
ANTIOQUIA-SANTAFE DE ANTIOQUIA|-75.827079|6.556533
ANTIOQUIA-ANZA|-75.854442|6.302658
ANTIOQUIA-APARTADO|-76.625961|7.883417
ANTIOQUIA-ARBOLETES|-76.427057|8.850568
ANTIOQUIA-ARGELIA|-75.141741|5.730672
ANTIOQUIA-ARMENIA|-75.786838|6.155819
ANTIOQUIA-BARBOSA|-75.331644|6.439227
ANTIOQUIA-BELMIRA|-75.667374|6.606160
ANTIOQUIA-BELLO|-75.554665|6.334069
ANTIOQUIA-BETANIA|-75.975544|5.744747
ANTIOQUIA-BETULIA|-75.984516|6.115256
ANTIOQUIA-CIUDAD BOLIVAR|-76.021509|5.850273
ANTIOQUIA-BRICEÑO|-75.548130|7.114883
ANTIOQUIA-BURITICA|-75.907535|6.719735
ANTIOQUIA-CACERES|-75.352357|7.578315
ANTIOQUIA-CAICEDO|-75.982819|6.405567
ANTIOQUIA-CALDAS|-75.633619|6.091297
ANTIOQUIA-CAMPAMENTO|-75.298088|6.979778
ANTIOQUIA-CAÑASGORDAS|-76.032210|6.759478
ANTIOQUIA-CARACOLI|-74.757449|6.409855
ANTIOQUIA-CARAMANTA|-75.643868|5.548530
ANTIOQUIA-CAREPA|-76.653210|7.755116
ANTIOQUIA-EL CARMEN DE VIBORAL|-75.335362|6.084552
ANTIOQUIA-CAROLINA DEL PRINCIPE|-75.283170|6.725977
ANTIOQUIA-CAUCASIA|-75.198290|7.977362
ANTIOQUIA-CHIGORODO|-76.681216|7.666300
